0,1CaterDataAna,2CaterDataAna,3CaterDataAna,4CaterDataAna,5CaterDataAna,6CaterDataAna,7CaterDataAna,8CaterDataAna,9CaterDataAna,10CaterDataAna,11CaterDataAna,12CaterDataAna,13CaterDataAna,14CaterDataAna,15CaterDataAna,16CaterDataAna,1ComputationalStatistics,2ComputationalStatistics,3ComputationalStatistics,4ComputationalStatistics,5ComputationalStatistics,6ComputationalStatistics,7ComputationalStatistics,8ComputationalStatistics,9ComputationalStatistics,10ComputationalStatistics,11ComputationalStatistics,12ComputationalStatistics,1ConvexOpt,2ConvexOpt,3ConvexOpt,4ConvexOpt,5ConvexOpt,6ConvexOpt,7ConvexOpt,8ConvexOpt,9ConvexOpt,10ConvexOpt,11ConvexOpt,1DeepLearning,2DeepLearning,3DeepLearning,4DeepLearning,5DeepLearning,6DeepLearning,7DeepLearning,8DeepLearning,9DeepLearning,10DeepLearning,11DeepLearning,12DeepLearning,13DeepLearning,14DeepLearning,15DeepLearning,16DeepLearning,17DeepLearning,18DeepLearning,19DeepLearning,20DeepLearning,1RegressionModelingStrategies,2RegressionModelingStrategies,3RegressionModelingStrategies,4RegressionModelingStrategies,5RegressionModelingStrategies,6RegressionModelingStrategies,7RegressionModelingStrategies,8RegressionModelingStrategies,9RegressionModelingStrategies,10RegressionModelingStrategies,11RegressionModelingStrategies,12RegressionModelingStrategies,13RegressionModelingStrategies,14RegressionModelingStrategies,15RegressionModelingStrategies,16RegressionModelingStrategies,17RegressionModelingStrategies,18RegressionModelingStrategies,19RegressionModelingStrategies,20RegressionModelingStrategies,21RegressionModelingStrategies,1ReinforcementLearning,2ReinforcementLearning,3ReinforcementLearning,4ReinforcementLearning,5ReinforcementLearning,6ReinforcementLearning,1Probability,2Probability,3Probability,4Probability,5Probability,6Probability,7Probability,8Probability,9Probability,10Probability,1StatisticalModels,2StatisticalModels,3StatisticalModels,4StatisticalModels,5StatisticalModels,6StatisticalModels,7StatisticalModels,8StatisticalModels,9StatisticalModels,10StatisticalModels,11StatisticalModels,12StatisticalModels,1StochasticProcess,2StochasticProcess,3StochasticProcess,4StochasticProcess,5StochasticProcess,6StochasticProcess,7StochasticProcess,8StochasticProcess,9StochasticProcess,10StochasticProcess,11StochasticProcess,12StochasticProcess,13StochasticProcess,14StochasticProcess,15StochasticProcess,16StochasticProcess,17StochasticProcess,18StochasticProcess,19StochasticProcess,20StochasticProcess,21StochasticProcess,22StochasticProcess,23StochasticProcess,24StochasticProcess,25StochasticProcess,26StochasticProcess,27StochasticProcess,28StochasticProcess,29StochasticProcess,30StochasticProcess,31StochasticProcess,32StochasticProcess,33StochasticProcess,34StochasticProcess,35StochasticProcess,36StochasticProcess,37StochasticProcess,38StochasticProcess,39StochasticProcess,40StochasticProcess,41StochasticProcess,42StochasticProcess
1CaterDataAna,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2CaterDataAna,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CaterDataAna,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CaterDataAna,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CaterDataAna,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6CaterDataAna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7CaterDataAna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8CaterDataAna,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9CaterDataAna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10CaterDataAna,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
