distributions,markov process,25.3913
marginal,marginal,23.4965
markov process,stopping time,23.3053
sample,random variable,23.0825
correlation,variable,22.278
optimization,random sample,20.8516
markov process,itˆo’s formula,20.7993
probability,markov process,20.1246
logistic model,logistic model,19.4475
mean,random variable,19.3085
random effects,gee,19.2546
correlation,predictor,19.0751
markov process,local martingale,19.0568
markov process,continuous,18.9986
markov process,probability,18.7886
markov process,stochastic integral,18.4758
logistic model,random variable,18.1178
distribution,markov process,18.113
logistic model,expected,17.5271
semigroup,markov process,17.4764
semigroup,continuous function,17.4475
error,random variable,17.3728
sample,spline,17.2317
variable,spline,16.974
gee,marginal,16.5309
continuous,expected,16.3048
markov process,random variable,16.1858
mean,log likelihood,16.0848
logit,random variable,16.0578
logit,logit,16.0261
estimator,random variable,15.8829
mcmc,markov process,15.6919
cox model,maximum likelihood estimator,15.6612
logistic model,spline,15.5013
brownian motion,random variable,15.4776
probability,joint,15.4738
normal,joint,15.4672
variance,markov process,15.3687
distribution,descent,15.3197
variance,likelihood,15.2873
univariate,markov process,15.1114
mean,joint,15.0552
normal,probability,14.9996
martingale problem,martingale,14.8713
stopping time,filtration,14.8604
gradient,descent,14.8363
bounded,expected,14.7681
sample,simulating,14.7616
continuous,markov process,14.6323
brownian motion,expected,14.4566
probability,binomial,14.3762
random variables,markov process,14.276
borel,itˆo’s formula,14.2067
policy,policy,14.1638
gaussian,markov process,14.1375
likelihood,normal,14.1355
filtration,normal,14.0727
martingale problem,markov process,14.0475
random effects,marginal,14.0428
markov process,bounded,13.9657
predictor,spline,13.9475
l´evy process,markov process,13.883
convergence,markov process,13.8205
distribution,random sample,13.7868
filtration,random variable,13.7166
mean,likelihood,13.6763
mean,expected,13.6553
continuous,trials,13.4917
continuous,probability mass function,13.4071
odds,binomial,13.3812
semigroup,borel,13.3412
conditional,binomial,13.221
parameter,joint,13.1775
gradient,newton,13.1109
bayesian,joint,13.061
logistic model,log likelihood,13.0456
mean,expected value,13.0391
censored data,mean,13.0306
convergence,sample,12.9932
markov process,square integrable martingale,12.985
multinomial,random variable,12.8978
odds,logistic model,12.8842
optimization,average,12.8159
sampling,simulating,12.8045
martingale problem,bounded,12.7199
probability,probability mass function,12.7044
likelihood,likelihood,12.6967
poisson,binomial,12.6741
variable,joint,12.6734
poisson,p-value,12.6662
mean,probability mass function,12.6532
gradient,random variable,12.613
variance,random sample,12.5626
mean,hypothesis,12.5378
optimization,convergence,12.5044
log likelihood,likelihood,12.4075
likelihood,random sample,12.4021
cauchy,markov process,12.3503
probability,probability,12.308
mcmc,mcmc,12.1866
stochastic integral,filtration,12.1555
markov process,increasing process,12.1448
error,independent,12.1371
log likelihood,independent,12.1239
normal,likelihood,11.9156
l´evy process,martingale,11.8967
bounded,maximum a posteriori probability,11.8826
markov process,norm,11.7926
filtration,independent,11.775
bounded,mean,11.7669
borel,stochastic integral,11.7436
convex optimization,domain,11.7196
cox model,weibull,11.6555
distribution,stationary,11.6552
factor,expected,11.634
independent,joint,11.6216
marginal,poisson,11.6112
